periode,nama_dosen,mata_kuliah,program studi,kategori_komentar,komentar,label_sentimen,comment_length_chars,komentar_cleaned,word_count,sentiment_model_label_raw,sentiment_model_score,sentiment_label,label
2024-2,Armiati,bahasa inggris 1,teknik informatika,open question,bahasa inggris 🔛🔝 mantappp,,26,bahasa inggris mantappp,3,LABEL_1,0.9882728457450867,positif,1
2024-2,TIFANNY NABARIAN,manajemen proyek,teknik informatika,kritik & saran,"Mungkin untuk asdos sangat membebani mahasiswa dengan peraturan yang dibuat kakak"" asdos nya,selain nya bagus",,109,mungkin untuk asdos sangat membebani mahasiswa dengan peraturan yang dibuat kakak asdos nya selain nya bagus,16,LABEL_0,0.9034603834152222,negatif,0
2024-1,REZA MAULANA,dasar dasar pemrograman,sistem informasi,kritik & saran,Tidak ada udah bagus dosennya,,29,tidak ada udah bagus dosennya,5,LABEL_0,0.8312268257141113,negatif,0
2024-1,IMAM HAROMAIN,big data,sistem informasi,open question,Dari saya tidak ada,,19,dari saya tidak ada,4,LABEL_0,0.9334513545036316,negatif,0
2024-1,TIFANNY NABARIAN,rekayasa perangkat lunak,teknik informatika,kritik & saran,terbaik buat ibu,,16,terbaik buat ibu,3,LABEL_1,0.9930154085159302,positif,1
2024-1,SIROJUL MUNIR,sistem informasi geografis,teknik informatika,open question,"sudah sangat baik, semoga kedepannya bisa lebih baik lagi.",,58,sudah sangat baik semoga kedepannya bisa lebih baik lagi,9,LABEL_1,0.9699853658676147,positif,1
2024-1,SIROJUL MUNIR,pemrograman web 1,teknik informatika,open question,Terima Kasih pak,,16,terima kasih pak,3,LABEL_1,0.9742090106010437,positif,1
2024-1,AHMAD RIO ADRIANSYAH,natural language processing,teknik informatika,open question,Sudah bagus banget bapakk,,25,sudah bagus banget bapakk,4,LABEL_1,0.8538557887077332,positif,1
2024-1,NASRUL,dasar dasar pemrograman,teknik informatika,open question,terlalu cepat pada penjelasan praktikum,,39,terlalu cepat pada penjelasan praktikum,5,LABEL_0,0.9755492210388184,negatif,0
2024-2,Armiati,bahasa inggris 1,teknik informatika,kritik & saran,lebih baik lagi,,15,lebih baik lagi,3,LABEL_1,0.9468863010406494,positif,1
2024-1,ISHOM MUHAMMAD DREHEM,sistem manajemen keamanan informasi,teknik informatika,open question,Adakan kelas offline,,20,adakan kelas offline,3,LABEL_0,0.8427490592002869,negatif,0
2024-2,SIGIT PUSPITO WIGATI JAROT,ethical hacking,teknik informatika,open question,ga ada pak,,10,ga ada pak,3,LABEL_0,0.9773774743080139,negatif,0
2024-1,EFRIZAL ZAIDA,administrasi jaringan,teknik informatika,kritik & saran,"Kalau boleh mungkin bisa dishare modul-modul kuliahnya dengan lebih lengkap, karena ada beberapa pertemuan yang tidak semua modulnya dishare",,140,kalau boleh mungkin bisa dishare modul modul kuliahnya dengan lebih lengkap karena ada beberapa pertemuan yang tidak semua modulnya dishare,20,LABEL_0,0.6689645648002625,negatif,0
2024-1,INDRA HERMAWAN,information retieval,teknik informatika,kritik & saran,Dosen jarang masuk,,18,dosen jarang masuk,3,LABEL_0,0.9672703742980957,negatif,0
2024-2,EFRIZAL ZAIDA,keamanan komputer dan jaringan,teknik informatika,open question,"Tidak ada, mantap.",,18,tidak ada mantap,3,LABEL_0,0.8986789584159851,negatif,0
2024-1,SIROJUL MUNIR,pemrograman web 1,teknik informatika,open question,"proses pembelajaran mata kuliah ini sudah sangat baik, materi yang di sampaikan sudah sangat lengkap, di tambah dengan praktikum langsung yang membuat saya sebagai mahasiswa bisa secara langsung menerapkan materi materi yang diajarkan, jadi dari saya tidak ada saran untuk mata kuliah ini",,288,proses pembelajaran mata kuliah ini sudah sangat baik materi yang di sampaikan sudah sangat lengkap di tambah dengan praktikum langsung yang membuat saya sebagai mahasiswa bisa secara langsung menerapkan materi materi yang diajarkan jadi dari saya tidak ada saran untuk mata kuliah ini,43,LABEL_1,0.6053059101104736,positif,1
2024-2,SIROJUL MUNIR,pemrograman web 2,teknik informatika,open question,Rancang desain database untuk matkul ini belum sepenuhnya diampu di skill set industri technology.,,98,rancang desain database untuk matkul ini belum sepenuhnya diampu di skill set industri technology,14,LABEL_0,0.9225314259529114,negatif,0
2024-1,IMAM HAROMAIN,big data,teknik informatika,kritik & saran,Bis membuat penyampaian materi lebih menarik lagi,,49,bis membuat penyampaian materi lebih menarik lagi,7,LABEL_1,0.8598076701164246,positif,1
2024-1,ISHOM MUHAMMAD DREHEM,sistem manajemen keamanan informasi,teknik informatika,kritik & saran,alhamdulillah selama kuliah berlangsung sangat baik dalam pembinaannya,,70,alhamdulillah selama kuliah berlangsung sangat baik dalam pembinaannya,8,LABEL_1,0.9748923182487488,positif,1
2024-1,AHMAD RIO ADRIANSYAH,natural language processing,teknik informatika,open question,tidak masuk saya,,16,tidak masuk saya,3,LABEL_0,0.9796631932258606,negatif,0
2024-2,EFRIZAL ZAIDA,keamanan komputer dan jaringan,teknik informatika,open question,materi yang di berikan cukup jelas,,34,materi yang di berikan cukup jelas,6,LABEL_1,0.6992213726043701,positif,1
2024-1,EFRIZAL ZAIDA,administrasi jaringan,teknik informatika,open question,sudah bagus dan mudah dimengerti,,32,sudah bagus dan mudah dimengerti,5,LABEL_1,0.9957274198532104,positif,1
2024-1,AHMAD RIO ADRIANSYAH,teori bahasa dan otomata,teknik informatika,kritik & saran,Dosen sudah cukup bsik,,22,dosen sudah cukup bsik,4,LABEL_0,0.7940784096717834,negatif,0
2024-1,SIROJUL MUNIR,pemrograman web 1,teknik informatika,open question,Mohon maaf pak saat menjelaskan lebih pelan lagi karena kami suka tertinggal codingannya剌晶,,92,mohon maaf pak saat menjelaskan lebih pelan lagi karena kami suka tertinggal codingannya,13,LABEL_0,0.9628081917762756,negatif,0
2024-1,SALMAN EL FARISI,enterprise architecture integration,sistem informasi,open question,Sudah sangat baik,,17,sudah sangat baik,3,LABEL_1,0.9605308771133423,positif,1
2024-1,SIROJUL MUNIR,pemrograman web 1,teknik informatika,kritik & saran,Pelan pelan untuk penjelasan atau materi yang dibahas,,53,pelan pelan untuk penjelasan atau materi yang dibahas,8,LABEL_0,0.7090126276016235,negatif,0
2024-1,SIROJUL MUNIR,sistem informasi geografis,teknik informatika,kritik & saran,Dosennya diharapkan pindah pindah kelas lain karena saya selama 1 semester tidak diajarkan langsung oleh pak sirojul langsung melainkan menonton zoom pak sirojul,,161,dosennya diharapkan pindah pindah kelas lain karena saya selama 1 semester tidak diajarkan langsung oleh pak sirojul langsung melainkan menonton zoom pak sirojul,23,LABEL_0,0.9053767323493958,negatif,0
2024-1,SIROJUL MUNIR,pemrograman web 1,teknik informatika,open question,"Simulasi Kerja Nyata 竊� Ikut hackathon, buat proyek kolaboratif, atau review kode teman.",,88,simulasi kerja nyata ikut hackathon buat proyek kolaboratif atau review kode teman,12,LABEL_0,0.7274585962295532,negatif,0
2024-2,SIROJUL MUNIR,pemrograman web 2,sistem informasi,open question,"Tidak ada, dosennya sudah menjalankan tugasnya dengan baik",,58,tidak ada dosennya sudah menjalankan tugasnya dengan baik,8,LABEL_0,0.9695640206336975,negatif,0
2024-2,REZA MAULANA,cloud computing,sistem informasi,open question,"Sudah baik, tapi kalau bisa mungkin asdos nya ditambah karena sangat sulit kalau 2 asdos untuk 5 kelas",,102,sudah baik tapi kalau bisa mungkin asdos nya ditambah karena sangat sulit kalau 2 asdos untuk 5 kelas,18,LABEL_0,0.9652820825576782,negatif,0
2024-1,REZA PRIMARDIANSYAH,dasar dasar pemrograman,teknik informatika,kritik & saran,"untuk ngajar mengajar sudah baik, namun untuk suara kadang kecil atau tidak jelas sampai bangku belakang, dan praktikum yang kadang cepat hingga tidak bisa sama smaa mengikuti praktikum.",,186,untuk ngajar mengajar sudah baik namun untuk suara kadang kecil atau tidak jelas sampai bangku belakang dan praktikum yang kadang cepat hingga tidak bisa sama smaa mengikuti praktikum,28,LABEL_0,0.9366933703422546,negatif,0
2024-1,ISHOM MUHAMMAD DREHEM,sistem manajemen keamanan informasi,teknik informatika,open question,"mata kuliah ini sudah sangat baik, dosen yang mengajarpun sudah sangat baik semoga kedepannya dapat menjadi lebih baik.",,119,mata kuliah ini sudah sangat baik dosen yang mengajarpun sudah sangat baik semoga kedepannya dapat menjadi lebih baik,18,LABEL_1,0.9645451903343201,positif,1
2024-1,REZA MAULANA,dasar dasar pemrograman,sistem informasi,kritik & saran,Semoga lebih baik lagi,,22,semoga lebih baik lagi,4,LABEL_1,0.982058584690094,positif,1
2024-1,AHMAD RIO ADRIANSYAH,teori bahasa dan otomata,teknik informatika,kritik & saran,sehat selalu bpk,,16,sehat selalu bpk,3,LABEL_1,0.9758692383766174,positif,1
2024-1,IMAM HAROMAIN,big data,teknik informatika,open question,Kinerja proses pembelajaran sangat baik,,39,kinerja proses pembelajaran sangat baik,5,LABEL_1,0.9477728605270386,positif,1
2024-2,SIGIT PUSPITO WIGATI JAROT,ethical hacking,teknik informatika,kritik & saran,Menjelaskan nya terlalu buru buru,,33,menjelaskan nya terlalu buru buru,5,LABEL_0,0.9892071485519409,negatif,0
2024-1,ISHOM MUHAMMAD DREHEM,sistem manajemen keamanan informasi,teknik informatika,open question,Adakan kunjungan ke perusahaan yang telah menerapkan sistem keamanan informasi yang baik.,,89,adakan kunjungan ke perusahaan yang telah menerapkan sistem keamanan informasi yang baik,12,LABEL_1,0.8541660308837891,positif,1
2024-2,EFRIZAL ZAIDA,keamanan komputer dan jaringan,teknik informatika,kritik & saran,mungkin pembawaan materinya bisa dibuat lebih menarik agar mahasiswanya juga semakin semangat.,,94,mungkin pembawaan materinya bisa dibuat lebih menarik agar mahasiswanya juga semakin semangat,12,LABEL_1,0.8924822211265564,positif,1
2024-1,AHMAD RIO ADRIANSYAH,natural language preprocessing,teknik informatika,kritik & saran,"Masyaallah saya sangat kagum dengan Ahmad Rio Adriansyah, S.Si., M.Si. sebagai dosen di mata kuliah NLP ini. Cara penyampaian materinya jelas, terstruktur, dan membuat topik yang rumit terasa lebih mudah dimengerti. Selain itu, kesabaran dan dedikasi beliau dalam menjawab pertanyaan mahasiswa sangat saya apresiasi. Untuk sarannya Mungkin bisa menambahkan lebih banyak cerita atau pengalaman pribadi terkait penerapan NLP di dunia kerja atau riset. Hal itu pasti akan menambah motivasi kami sebagai mahasiswa, dan Terima kasih banyak atas ilmu, bimbingan, dan inspirasi yang telah diberikan, Pak Rio! Saya merasa beruntung bisa belajar dari seorang dosen yang kompeten dan berdedikasi seperti Bapak.",,700,masyaallah saya sangat kagum dengan ahmad rio adriansyah s si m si sebagai dosen di mata kuliah nlp ini cara penyampaian materinya jelas terstruktur dan membuat topik yang rumit terasa lebih mudah dimengerti selain itu kesabaran dan dedikasi beliau dalam menjawab pertanyaan mahasiswa sangat saya apresiasi untuk sarannya mungkin bisa menambahkan lebih banyak cerita atau pengalaman pribadi terkait penerapan nlp di dunia kerja atau riset hal itu pasti akan menambah motivasi kami sebagai mahasiswa dan terima kasih banyak atas ilmu bimbingan dan inspirasi yang telah diberikan pak rio saya merasa beruntung bisa belajar dari seorang dosen yang kompeten dan berdedikasi seperti bapak,102,LABEL_1,0.9675485491752625,positif,1
2024-1,AHMAD RIO ADRIANSYAH,natural language processing,teknik informatika,open question,matkul susah tapi bikin penasaran,,33,matkul susah tapi bikin penasaran,5,LABEL_0,0.9534470438957214,negatif,0
2024-1,TIFANNY NABARIAN,pola desain perangkat lunak,teknik informatika,open question,Teori sudah sangat bagus tetapi secara praktek masih kurang seimbang dengan teori.,,82,teori sudah sangat bagus tetapi secara praktek masih kurang seimbang dengan teori,12,LABEL_0,0.7971294522285461,negatif,0
2024-1,AHMAD RIO ADRIANSYAH,teori bahasa dan otomata,teknik informatika,open question,"merupakan salah satu fondasi penting dalam ilmu komputer yang membahas bagaimana bahasa formal dan model matematika dapat digunakan untuk memahami komputasi. Dalam mempelajari TBO, sangat penting untuk memahami konsep dasar seperti finite automata, context-free grammar, dan Turing Machine.",,290,merupakan salah satu fondasi penting dalam ilmu komputer yang membahas bagaimana bahasa formal dan model matematika dapat digunakan untuk memahami komputasi dalam mempelajari tbo sangat penting untuk memahami konsep dasar seperti finite automata context free grammar dan turing machine,39,LABEL_1,0.9483238458633423,positif,1
2024-2,TIFANNY NABARIAN,tata kelola teknologi informasi,sistem informasi,open question,Terlalu banyak bahasa yang masih belum bisa di anggap dan di mengerti mahasiswa,,79,terlalu banyak bahasa yang masih belum bisa di anggap dan di mengerti mahasiswa,13,LABEL_0,0.9675305485725403,negatif,0
2024-2,Maulana Fakih Latief,jaringan komputer,sistem informasi,open question,saran kelasnya jangan dicampur terlalu banyak. karena pembelajaran tidak efektif,,80,saran kelasnya jangan dicampur terlalu banyak karena pembelajaran tidak efektif,10,LABEL_0,0.9035003781318665,negatif,0
2024-2,REZA MAULANA,basis data,teknik informatika,kritik & saran,saya sangat menyukai bagaimana cara bapak memaparkan materi sangat mudah difahami,,81,saya sangat menyukai bagaimana cara bapak memaparkan materi sangat mudah difahami,11,LABEL_1,0.9737583994865417,positif,1
2024-2,NASRUL,pengantar basis data,bisnis digital,kritik & saran,"Pak Nasrul mengajarnya kurang asik dan agak sulit dipahami karena terlalu cepat sehingga mahasiswa sulit mengikuti praktek nya, tapi di back up selalu sama asisten dosennya jadi bisa agak paham.",,194,pak nasrul mengajarnya kurang asik dan agak sulit dipahami karena terlalu cepat sehingga mahasiswa sulit mengikuti praktek nya tapi di back up selalu sama asisten dosennya jadi bisa agak paham,30,LABEL_0,0.8729413151741028,negatif,0
2024-1,ZAKI IMADUDDIN,pengolahan citra,teknik informatika,kritik & saran,Lebih jelas lagi dalam memberikan intruksi tugas agar tidak membingungkan mahasiswanya,,86,lebih jelas lagi dalam memberikan intruksi tugas agar tidak membingungkan mahasiswanya,11,LABEL_0,0.6406630277633667,negatif,0
2024-1,NASRUL,pemrograman web 1,teknik informatika,kritik & saran,Tolong mungkin untuk praktikum jangan terlalu cepat,,51,tolong mungkin untuk praktikum jangan terlalu cepat,7,LABEL_0,0.9373440742492676,negatif,0
2024-1,NASRUL,pemrograman web 1,teknik informatika,open question,Semangatt terus pak dalam mengajar nya,,38,semangatt terus pak dalam mengajar nya,6,LABEL_1,0.962627649307251,positif,1
2024-2,TIFANNY NABARIAN,manajemen proyek,teknik informatika,open question,Mata kuliah Manpro ini sangat penting dan mudah untuk di fahami materi-materinya,,80,mata kuliah manpro ini sangat penting dan mudah untuk di fahami materi materinya,13,LABEL_1,0.9704473614692688,positif,1
2024-1,NASRUL,pemrograman web 1,sistem informasi,open question,Mungkin saat kelas dibuat lebih interaktif,,42,mungkin saat kelas dibuat lebih interaktif,6,LABEL_0,0.6359953284263611,negatif,0
2024-2,SIROJUL MUNIR,pemrograman web 2,teknik informatika,kritik & saran,Selalu perhatikan mahasiswa nya,,31,selalu perhatikan mahasiswa nya,4,LABEL_1,0.6640779376029968,positif,1
2024-2,EFRIZAL ZAIDA,keamanan komputer dan jaringan,teknik informatika,open question,"Saran untuk kedepannya lebih diperhatikan terkait kondusif kelas. Karena, bisa mengganggu mahasiswa dalam pembelajaran.",,119,saran untuk kedepannya lebih diperhatikan terkait kondusif kelas karena bisa mengganggu mahasiswa dalam pembelajaran,14,LABEL_0,0.7626570463180542,negatif,0
2024-2,Maulana Fakih Latief,jaringan komputer,sistem informasi,kritik & saran,"Tidak ada, semuanya sudah berjalan dengan baik",,46,tidak ada semuanya sudah berjalan dengan baik,7,LABEL_0,0.717749834060669,negatif,0
2024-1,IMAM HAROMAIN,big data,teknik informatika,kritik & saran,sehat selalu bpk,,16,sehat selalu bpk,3,LABEL_1,0.9758692383766174,positif,1
2024-2,NASRUL,basis data,teknik informatika,open question,"selama pembelajaran mata kuliah ini sangat membantu untuk memahami konsep dasar pengolahan data. Materinya sudah cukup lengkap, terutama untuk pemula. Praktik langsung dengan SQL juga membantu banget buat memahami logika query.",,227,selama pembelajaran mata kuliah ini sangat membantu untuk memahami konsep dasar pengolahan data materinya sudah cukup lengkap terutama untuk pemula praktik langsung dengan sql juga membantu banget buat memahami logika query,31,LABEL_1,0.9518139958381653,positif,1
2024-2,TIFANNY NABARIAN,manajemen proyek,teknik informatika,kritik & saran,Terbaik untuk kk asdos dan juga untuk bu Tifanny,,48,terbaik untuk kk asdos dan juga untuk bu tifanny,9,LABEL_1,0.9840064644813538,positif,1
2024-2,SIGIT PUSPITO WIGATI JAROT,ethical hacking,teknik informatika,kritik & saran,Semoga bisa lebih baik lagi,,27,semoga bisa lebih baik lagi,5,LABEL_1,0.979518711566925,positif,1
2024-2,Maulana Fakih Latief,jaringan komputer,sistem informasi,kritik & saran,"Izin Pak latief, menurut saya asdos nya jangan sibuk ngobrol dibelakang",,71,izin pak latief menurut saya asdos nya jangan sibuk ngobrol dibelakang,11,LABEL_0,0.878251314163208,negatif,0
2024-1,AHMAD RIO ADRIANSYAH,teori bahasa dan otomata,teknik informatika,kritik & saran,"Saya berharap kelas offline semua, tidak ada kelas online nya.",,62,saya berharap kelas offline semua tidak ada kelas online nya,10,LABEL_0,0.9083845615386963,negatif,0
2024-1,Maulana Fakih Latief,sistem operasi,teknik informatika,kritik & saran,mungkin perlu adanya swap class jadi yang di ajar dengan asdos bisa di ajar juga dengan dosen,,93,mungkin perlu adanya swap class jadi yang di ajar dengan asdos bisa di ajar juga dengan dosen,17,LABEL_0,0.7470012307167053,negatif,0
2024-1,TIFANNY NABARIAN,rekayasa perangkat lunak,teknik informatika,open question,harus di rooftop si buu,,23,harus di rooftop si buu,5,LABEL_0,0.9665548801422119,negatif,0
2024-1,AHMAD RIO ADRIANSYAH,teori bahasa dan otomata,teknik informatika,open question,mata kuliah yang penuh perhitungan dan logika,,45,mata kuliah yang penuh perhitungan dan logika,7,LABEL_1,0.6690582633018494,positif,1
2024-1,REZA MAULANA,dasar dasar pemrograman,sistem informasi,open question,"Bila ingin mengajukan pertanyaan, bisakah dipilih sesuai urutan absensi mahasiswa/i",,83,bila ingin mengajukan pertanyaan bisakah dipilih sesuai urutan absensi mahasiswa i,11,LABEL_0,0.9771580696105957,negatif,0
2024-2,TUBAGUS RIZKY DHARMAWAN,it disaster recovery,teknik infomatika,kritik & saran,Semoga kedepannya bisa ada toleransi untuk mahasiswa,,52,semoga kedepannya bisa ada toleransi untuk mahasiswa,7,LABEL_1,0.9326073527336121,positif,1
2024-1,NASRUL,pemrograman web 1,sistem informasi,open question,"mata kuliah nya seru dan menarik, tapi makin kesini materinya lebih menantang, tapi seru juga",,93,mata kuliah nya seru dan menarik tapi makin kesini materinya lebih menantang tapi seru juga,15,LABEL_1,0.8637262582778931,positif,1
2024-2,REZA MAULANA,cloud computing,sistem informasi,kritik & saran,"Sudah baik, Semoga bisa ditingkatkan terus kedepanya",,52,sudah baik semoga bisa ditingkatkan terus kedepanya,7,LABEL_1,0.9617534875869751,positif,1
2024-2,REZA MAULANA,cloud computing,sistem informasi,kritik & saran,Tambahh wifi lagi pak,,21,tambahh wifi lagi pak,4,LABEL_0,0.7925452589988708,negatif,0
2024-1,Maulana Fakih Latief,pemrograman iot,teknik informatika,open question,Semoga konsisten bagusnya kalau bisa tahun ajaran depan lebih bagus lagiii,,74,semoga konsisten bagusnya kalau bisa tahun ajaran depan lebih bagus lagiii,11,LABEL_1,0.9160060286521912,positif,1
2024-1,LUKMAN ROSYIDI,sistem operasi,sistem informasi,kritik & saran,Kalo bisa sesekali bapak dosen ke ruangan kelas bergantian.,,59,kalo bisa sesekali bapak dosen ke ruangan kelas bergantian,9,LABEL_0,0.827167272567749,negatif,0
2024-2,SALMAN EL FARISI,pemrograman web 2,teknik informatika,open question,di jelasin sangat teratur mudah dicerna,,39,di jelasin sangat teratur mudah dicerna,6,LABEL_1,0.9173775911331177,positif,1
2024-2,EFRIZAL ZAIDA,keamanan komputer dan jaringan,teknik informatika,kritik & saran,"Terbaik pak Efrizal Menurut saya, Bapak sudah sangat baik dalam mengajar. Mungkin bisa lebih sering melibatkan interaksi langsung dengan mahasiswa saat menjelaskan materi, supaya suasana kelas lebih aktif dan mahasiswa semakin fokus.",,233,terbaik pak efrizal menurut saya bapak sudah sangat baik dalam mengajar mungkin bisa lebih sering melibatkan interaksi langsung dengan mahasiswa saat menjelaskan materi supaya suasana kelas lebih aktif dan mahasiswa semakin fokus,32,LABEL_1,0.9488954544067383,positif,1
2024-2,EFRIZAL ZAIDA,keamanan komputer dan jaringan,teknik informatika,kritik & saran,Suara kurang terdengar dengan jelas walau sudah menggunakan mic,,63,suara kurang terdengar dengan jelas walau sudah menggunakan mic,9,LABEL_0,0.9720112681388855,negatif,0
2024-1,NASRUL,pemrograman web 1,teknik informatika,open question,semoga lebih jelas lagi dalam menerangkan,,41,semoga lebih jelas lagi dalam menerangkan,6,LABEL_1,0.8410015106201172,positif,1
2024-1,Maulana Fakih Latief,pemrograman iot,teknik informatika,open question,"dosennya asik, sayang kalo dosen kayak gini tapi mahsiswanya malah sia siain kesempatan belajar",,95,dosennya asik sayang kalo dosen kayak gini tapi mahsiswanya malah sia siain kesempatan belajar,14,LABEL_0,0.9599144458770752,negatif,0
2024-1,SALMAN EL FARISI,jaminan kualitas sistem informasi,sistem informasi,kritik & saran,Tidak ada pak,,13,tidak ada pak,3,LABEL_0,0.9597330093383789,negatif,0
2024-1,REZA MAULANA,dasar dasar pemrograman,sistem informasi,open question,semoga kedepan nya lebih baik,,29,semoga kedepan nya lebih baik,5,LABEL_1,0.988074004650116,positif,1
2024-2,REZA MAULANA,cloud computing,sistem informasi,kritik & saran,"Terima kasih yang sebesar-besarnya kepada Bapak Reza Maulana atas bimbingan, semangat, dan ilmu yang telah diberikan selama mata kuliah Cloud Computing. Penjelasan Bapak sangat jelas, terstruktur, dan membantu kami memahami konsep cloud secara mendalam, mulai dari dasar hingga penerapannya dalam dunia industri. Terima kasih atas kesabaran Bapak dalam membimbing kami, menjawab pertanyaan dengan rinci, dan memberikan banyak wawasan baru yang sangat relevan dengan perkembangan teknologi saat ini. Semoga Bapak selalu diberikan kesehatan, keberkahan, dan kesuksesan dalam segala hal. Terima kasih atas ilmu dan inspirasi yang luar biasa, Pak",,642,terima kasih yang sebesar besarnya kepada bapak reza maulana atas bimbingan semangat dan ilmu yang telah diberikan selama mata kuliah cloud computing penjelasan bapak sangat jelas terstruktur dan membantu kami memahami konsep cloud secara mendalam mulai dari dasar hingga penerapannya dalam dunia industri terima kasih atas kesabaran bapak dalam membimbing kami menjawab pertanyaan dengan rinci dan memberikan banyak wawasan baru yang sangat relevan dengan perkembangan teknologi saat ini semoga bapak selalu diberikan kesehatan keberkahan dan kesuksesan dalam segala hal terima kasih atas ilmu dan inspirasi yang luar biasa pak,89,LABEL_1,0.973971962928772,positif,1
2024-1,SIROJUL MUNIR,sistem informasi geografis,teknik informatika,open question,respon harus diperbaiki terhadap mahasiswa,,42,respon harus diperbaiki terhadap mahasiswa,5,LABEL_0,0.9854147434234619,negatif,0
2024-1,TIFANNY NABARIAN,rekayasa perangkat lunak,teknik informatika,open question,Semoga kedepanya bisa lebih baik lagi,,37,semoga kedepanya bisa lebih baik lagi,6,LABEL_1,0.9801809191703796,positif,1
2024-2,TIFANNY NABARIAN,manajemen proyek,teknik informatika,kritik & saran,Sudah bagus ibu lanjutkan,,25,sudah bagus ibu lanjutkan,4,LABEL_1,0.8933791518211365,positif,1
2024-2,Maulana Fakih Latief,jaringan komputer,teknik informatika,open question,ditambah praktik simulasi atau proyek kecil,,43,ditambah praktik simulasi atau proyek kecil,6,LABEL_0,0.71149080991745,negatif,0
2024-1,REZA MAULANA,cloud computing,bisnis digital,kritik & saran,"Sebetulnya, sejauh ini dosennya sudah cukup baik saat menjelaskan. Hanya saja cara mengajarnya kurang menarik. Selain itu, asisten dosennya sebaiknya diganti saja...",,165,sebetulnya sejauh ini dosennya sudah cukup baik saat menjelaskan hanya saja cara mengajarnya kurang menarik selain itu asisten dosennya sebaiknya diganti saja,22,LABEL_0,0.9300708174705505,negatif,0
2024-1,NASRUL,dasar dasar pemrograman,teknik informatika,open question,tidak ada sudah keren pakk!!!,,29,tidak ada sudah keren pakk,5,LABEL_0,0.7990131378173828,negatif,0
2024-1,SIROJUL MUNIR,sistem informasi geografis,teknik informatika,open question,dosen sudah baik dalam pemenuhan mata kuliah ini,,48,dosen sudah baik dalam pemenuhan mata kuliah ini,8,LABEL_1,0.8715894818305969,positif,1
